,Well,Drug,Concentration,Exp
553,H05_DGE2,Torin2,10.0,DGE2
554,H06_DGE2,Dovitinib,1.0,DGE2
555,H07_DGE2,AZD1480 (dsRNAmi),10.0,DGE2
556,H08_DGE2,Staurosporine aglycone,1.0,DGE2
557,H09_DGE2,at9283,10.0,DGE2
558,H10_DGE2,XL019,10.0,DGE2
559,H11_DGE2,Palbociclib,1.0,DGE2
560,H12_DGE2,Crizotinib,10.0,DGE2
561,H13_DGE2,Axitinib,1.0,DGE2
562,H14_DGE2,Nilotinib,10.0,DGE2
563,H15_DGE2,Tofacitinib,1.0,DGE2
564,H16_DGE2,Dabrafenib,10.0,DGE2
565,H17_DGE2,Dovitinib,1.0,DGE2
566,H18_DGE2,Sunitinib,10.0,DGE2
567,H19_DGE2,Pelitinib,1.0,DGE2
568,H20_DGE2,Ruxolitinib,1.0,DGE2
569,H21_DGE2,Tofacitinib (Lipo),10.0,DGE2
570,H22_DGE2,Neratinib,10.0,DGE2
571,H23_DGE2,DMSO,,DGE2
572,H24_DGE2,Celastrol,1.0,DGE2
573,I01_DGE2,Vandetanib,10.0,DGE2
574,I02_DGE2,OTSSP167,1.0,DGE2
575,I03_DGE2,AZ-628,1.0,DGE2
576,I04_DGE2,Bosutinib,1.0,DGE2
577,I05_DGE2,PLX-4720,1.0,DGE2
578,I06_DGE2,Vandetanib,10.0,DGE2
579,I07_DGE2,H89,1.0,DGE2
580,I08_DGE2,at9283,1.0,DGE2
581,I09_DGE2,Baricitinib,1.0,DGE2
582,I10_DGE2,XL019,10.0,DGE2
583,I11_DGE2,OTSSP167,1.0,DGE2
584,I12_DGE2,MRT67307,1.0,DGE2
585,I13_DGE2,IKK16,10.0,DGE2
586,I14_DGE2,XMD16-144,1.0,DGE2
587,I15_DGE2,Dactolisib,10.0,DGE2
588,I16_DGE2,Baricitinib (Lipo),10.0,DGE2
589,I17_DGE2,KW2449,10.0,DGE2
590,I18_DGE2,Regorafenib,10.0,DGE2
591,I19_DGE2,Rucaparib,10.0,DGE2
592,I20_DGE2,Baricitinib (Lipo),10.0,DGE2
593,I21_DGE2,Regorafenib,10.0,DGE2
594,I22_DGE2,Staurosporine aglycone,10.0,DGE2
595,I23_DGE2,Dabrafenib,1.0,DGE2
596,I24_DGE2,Sunitinib,1.0,DGE2
597,J01_DGE2,pf-06463922,1.0,DGE2
598,J02_DGE2,Ruxolitinib,10.0,DGE2
599,J03_DGE2,Rucaparib,10.0,DGE2
600,J04_DGE2,AZD-1480,1.0,DGE2
601,J05_DGE2,Palbociclib,10.0,DGE2
602,J06_DGE2,Fedratinib (Lipo),1.0,DGE2
603,J07_DGE2,DMSO,,DGE2
604,J08_DGE2,Lapatinib,1.0,DGE2
605,J09_DGE2,Resveratrol,1.0,DGE2
606,J10_DGE2,Sorafenib,1.0,DGE2
607,J11_DGE2,Vorinostat,1.0,DGE2
608,J12_DGE2,Nilotinib,1.0,DGE2
609,J13_DGE2,Ceritinib,1.0,DGE2
610,J14_DGE2,Tofacitinib (dsRNAmi),10.0,DGE2
611,J15_DGE2,KW2449,10.0,DGE2
612,J16_DGE2,Afatinib,1.0,DGE2
613,J17_DGE2,Ruxolitinib (dsRNAmi),10.0,DGE2
614,J18_DGE2,Ponatinib,1.0,DGE2
615,J19_DGE2,Erlotinib,10.0,DGE2
616,J20_DGE2,VX-702,1.0,DGE2
617,J21_DGE2,Ibrutinib,10.0,DGE2
618,J22_DGE2,Baricitinib (dsRNAmi),10.0,DGE2
619,J23_DGE2,XL019,1.0,DGE2
620,J24_DGE2,Staurosporine aglycone,10.0,DGE2
621,K01_DGE2,BIX 02565,1.0,DGE2
622,K02_DGE2,KIN001-111,1.0,DGE2
623,K03_DGE2,Sorafenib,1.0,DGE2
624,K04_DGE2,PLX-4720,1.0,DGE2
625,K05_DGE2,Sunitinib,1.0,DGE2
626,K06_DGE2,canertinib,10.0,DGE2
627,K07_DGE2,Nintedanib,1.0,DGE2
628,K08_DGE2,AZ-628,10.0,DGE2
629,K09_DGE2,KW2449,1.0,DGE2
630,K10_DGE2,Enzastaurin,1.0,DGE2
631,K11_DGE2,Fedratinib,10.0,DGE2
632,K12_DGE2,Dasatinib,1.0,DGE2
633,K13_DGE2,Bosutinib,1.0,DGE2
634,K14_DGE2,VX-702,10.0,DGE2
635,K15_DGE2,JWE-035,10.0,DGE2
636,K16_DGE2,Enzastaurin,1.0,DGE2
637,K17_DGE2,Fedratinib,1.0,DGE2
638,K18_DGE2,AZD-1480,1.0,DGE2
639,K19_DGE2,IKK16,1.0,DGE2
640,K20_DGE2,Belinostat,1.0,DGE2
641,K21_DGE2,XL019,1.0,DGE2
642,K22_DGE2,Celastrol,10.0,DGE2
643,K23_DGE2,Nilotinib,1.0,DGE2
644,K24_DGE2,MRT67307,1.0,DGE2
645,L01_DGE2,XL019 (Lipo),10.0,DGE2
646,L02_DGE2,Tofacitinib,1.0,DGE2
647,L03_DGE2,AZD-1480,10.0,DGE2
648,L04_DGE2,y-27632,10.0,DGE2
649,L05_DGE2,Ruxolitinib (Lipo),10.0,DGE2
650,L06_DGE2,VX-702,10.0,DGE2
651,L07_DGE2,DMSO,,DGE2
652,L08_DGE2,Belinostat,1.0,DGE2
653,L09_DGE2,Axitinib,1.0,DGE2
654,L10_DGE2,Gefitinib,10.0,DGE2
655,L11_DGE2,LY2090314,1.0,DGE2
656,L12_DGE2,H89,10.0,DGE2
657,L13_DGE2,Ibrutinib,1.0,DGE2
658,L14_DGE2,Dasatinib,1.0,DGE2
659,L15_DGE2,Tofacitinib (dsRNAmi),10.0,DGE2
660,L16_DGE2,KIN001-111,1.0,DGE2
661,L17_DGE2,Enzastaurin,1.0,DGE2
662,L18_DGE2,Celastrol,1.0,DGE2
663,L19_DGE2,BIX 02565,10.0,DGE2
664,L20_DGE2,Dactolisib,1.0,DGE2
665,L21_DGE2,Enzastaurin,10.0,DGE2
666,L22_DGE2,LY2090314,1.0,DGE2
667,L23_DGE2,Dabrafenib,10.0,DGE2
668,L24_DGE2,JWE-035,10.0,DGE2
669,M01_DGE2,Nintedanib,10.0,DGE2
670,M02_DGE2,KIN001-111,1.0,DGE2
671,M03_DGE2,dsRNAmi,,DGE2
672,M04_DGE2,Lapatinib,10.0,DGE2
673,M05_DGE2,Afatinib,1.0,DGE2
674,M06_DGE2,Lapatinib,10.0,DGE2
675,M07_DGE2,Regorafenib,1.0,DGE2
676,M08_DGE2,DMSO,,DGE2
677,M09_DGE2,Palbociclib,10.0,DGE2
678,M10_DGE2,DMSO,,DGE2
679,M11_DGE2,VX-702,1.0,DGE2
680,M12_DGE2,Vorinostat,10.0,DGE2
681,M13_DGE2,Rucaparib,1.0,DGE2
682,M14_DGE2,Axitinib,10.0,DGE2
683,M15_DGE2,OTSSP167,10.0,DGE2
684,M16_DGE2,Sorafenib,1.0,DGE2
685,M17_DGE2,Ibrutinib,10.0,DGE2
686,M18_DGE2,XMD16-144,10.0,DGE2
687,M19_DGE2,Neratinib,1.0,DGE2
688,M20_DGE2,AZD1480 (Lipo),10.0,DGE2
689,M21_DGE2,dsRNAmi,,DGE2
690,M22_DGE2,Neratinib,1.0,DGE2
691,M23_DGE2,at9283,10.0,DGE2
692,M24_DGE2,y-27632,10.0,DGE2
693,N01_DGE2,Rucaparib,1.0,DGE2
694,N02_DGE2,Ruxolitinib,1.0,DGE2
695,N03_DGE2,AZD1480 (dsRNAmi),10.0,DGE2
696,N04_DGE2,BIX 02565,10.0,DGE2
697,N05_DGE2,Celastrol,1.0,DGE2
698,N06_DGE2,DMSO,,DGE2
699,N07_DGE2,Staurosporine aglycone,1.0,DGE2
700,N08_DGE2,Neratinib,1.0,DGE2
701,N09_DGE2,IKK16,10.0,DGE2
702,N10_DGE2,Resveratrol,10.0,DGE2
703,N11_DGE2,KIN001-111,10.0,DGE2
704,N12_DGE2,Enzastaurin,10.0,DGE2
705,N13_DGE2,Fedratinib,1.0,DGE2
706,N14_DGE2,Fedratinib (dsRNAmi),1.0,DGE2
707,N15_DGE2,Imatinib,1.0,DGE2
708,N16_DGE2,KW2449,1.0,DGE2
709,N17_DGE2,Dabrafenib,1.0,DGE2
710,N18_DGE2,Imatinib,1.0,DGE2
711,N19_DGE2,XL019,1.0,DGE2
712,N20_DGE2,Dabrafenib,1.0,DGE2
713,N21_DGE2,Fedratinib (Lipo),1.0,DGE2
714,N22_DGE2,AZ-628,10.0,DGE2
715,N23_DGE2,Torin2,10.0,DGE2
716,N24_DGE2,Erlotinib,10.0,DGE2
717,O01_DGE2,Gefitinib,1.0,DGE2
718,O02_DGE2,PLX-4720,10.0,DGE2
719,O03_DGE2,MRT67307,10.0,DGE2
720,O04_DGE2,Bosutinib,1.0,DGE2
721,O05_DGE2,Baricitinib,10.0,DGE2
722,O06_DGE2,Fedratinib (dsRNAmi),1.0,DGE2
723,O07_DGE2,canertinib,1.0,DGE2
724,O08_DGE2,KW2449,10.0,DGE2
725,O09_DGE2,XL019,10.0,DGE2
726,O10_DGE2,LY2090314,10.0,DGE2
727,O11_DGE2,pf-06463922,10.0,DGE2
728,O12_DGE2,Axitinib,1.0,DGE2
729,O13_DGE2,Sunitinib,10.0,DGE2
730,O14_DGE2,Afatinib,10.0,DGE2
731,O15_DGE2,Baricitinib (Lipo),10.0,DGE2
732,O16_DGE2,Baricitinib (Lipo),1.0,DGE2
733,O17_DGE2,XL019 (dsRNAmi),10.0,DGE2
734,O18_DGE2,at9283,10.0,DGE2
735,O19_DGE2,Baricitinib (Lipo),1.0,DGE2
736,O20_DGE2,y-27632,1.0,DGE2
737,O21_DGE2,Imatinib,1.0,DGE2
738,O22_DGE2,Ruxolitinib,1.0,DGE2
739,O23_DGE2,Sorafenib,10.0,DGE2
740,O24_DGE2,PLX-4720,10.0,DGE2
741,P01_DGE2,H89,10.0,DGE2
742,P02_DGE2,Resveratrol,10.0,DGE2
743,P03_DGE2,Dovitinib,10.0,DGE2
744,P04_DGE2,Ruxolitinib (Lipo),10.0,DGE2
745,P05_DGE2,LY2090314,10.0,DGE2
746,P06_DGE2,Nintedanib,10.0,DGE2
747,P07_DGE2,Erlotinib,1.0,DGE2
748,P08_DGE2,H89,1.0,DGE2
749,P09_DGE2,MRT67307,10.0,DGE2
750,P10_DGE2,Torin2,10.0,DGE2
751,P11_DGE2,DMSO,,DGE2
752,P12_DGE2,DMSO,,DGE2
753,P13_DGE2,Bosutinib,10.0,DGE2
754,P14_DGE2,Ruxolitinib,10.0,DGE2
755,P15_DGE2,Ceritinib,10.0,DGE2
756,P16_DGE2,KIN001-111,10.0,DGE2
757,P17_DGE2,pf-06463922,1.0,DGE2
758,P18_DGE2,PLX-4720,10.0,DGE2
759,P19_DGE2,Resveratrol,10.0,DGE2
760,P20_DGE2,pf-06463922,10.0,DGE2
761,P21_DGE2,Fedratinib (dsRNAmi),1.0,DGE2
762,P22_DGE2,BIX 02565,10.0,DGE2
763,P23_DGE2,Vandetanib,1.0,DGE2
764,P24_DGE2,y-27632,1.0,DGE2
